class	entropy	silhouette	k	cancer	ID
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A0K9-01A-21R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A0K7-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BS-A0UJ-01A-12R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-A5-A0VP-01A-21R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0RY-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AP-A0LL-01A-12R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A0JN-01A-11R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0M4-01A-11R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0MG-01A-21R-A104-07
2	0.89886103704429	0.544132015868874	k_2	UCEC	TCGA-BS-A0UL-01A-11R-A109-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0VZ-01A-11R-A109-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AX-A0J0-01A-11R-A109-07
2	0	0.991760903007224	k_2	UCEC	TCGA-A5-A0VO-01A-21R-A109-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BS-A0WQ-01A-21R-A109-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BG-A0W1-01A-12R-A109-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0W2-01A-11R-A109-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BS-A0U5-01A-11R-A109-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A0ZU-01A-11R-A10J-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A11E-01A-11R-A10J-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A11F-01A-11R-A10J-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A0ZR-01A-21R-A10J-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A11X-01A-11R-A10J-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A11Y-01A-21R-A10J-07
2	0	0.991760903007224	k_2	UCEC	TCGA-D1-A0ZV-01A-11R-A10J-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0YU-01A-21R-A10J-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A103-01A-11R-A10J-07
2	0	0.991760903007224	k_2	UCEC	TCGA-B5-A11V-01A-11R-A10J-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AX-A0IS-01A-12R-A10J-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0YV-01A-11R-A10J-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A0ZP-01A-21R-A10J-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A0ZZ-01A-11R-A10J-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BS-A0U9-01B-21R-A10J-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A11I-01A-11R-A10J-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A11Z-01A-11R-A10J-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BG-A0VT-01A-11R-A10J-07
2	0	0.991760903007224	k_2	UCEC	TCGA-D1-A101-01A-12R-A10J-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A102-01A-11R-A10J-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0VX-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AX-A0IZ-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-A5-A0GG-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-A5-A0GR-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BK-A13C-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A15X-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-B5-A11W-01A-12R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A11U-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A15V-01A-11R-A118-07
2	0.020814071335501	0.989910716139383	k_2	UCEC	TCGA-AX-A06H-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A11N-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A162-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AP-A05O-01A-12R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A11O-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BS-A0V8-01A-11R-A118-07
2	0.697268815792328	0.76932193550285	k_2	UCEC	TCGA-BG-A0VV-01A-21R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A11R-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AP-A059-01A-21R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A11J-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AP-A0LM-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BG-A0MH-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-B5-A11G-01A-13R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A11H-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AX-A06D-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A0ZQ-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A0ZS-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A11M-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AP-A0LF-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A15W-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A0JT-01A-21R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-A5-A0G1-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A121-01A-31R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BS-A0UA-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-B5-A11Q-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A0ZN-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BS-A0V6-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-D1-A161-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A15Z-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A0ZO-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BG-A0VW-01A-11R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A11S-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-D1-A160-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-A5-A0GQ-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AX-A06L-01A-11R-A118-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BS-A0V7-01A-21R-A118-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A18C-01A-11R-A12I-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BG-A18A-01A-21R-A12I-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A186-01A-11R-A12I-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A16R-01A-11R-A12I-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A163-01A-11R-A12I-07
2	0	0.991760903007224	k_2	UCEC	TCGA-D1-A17S-01A-11R-A12I-07
1	0	0.996484799932207	k_2	UCEC	TCGA-D1-A17U-01A-21R-A12I-07
